id,x,y,pupilD
4551098,966.6,549.4,517.0
4551100,965.3,545.4,518.0
4551102,965.0,544.3,517.0
4551104,965.5,544.1,517.0
4551106,965.8,544.1,518.0
4551108,965.3,544.8,518.0
4551110,964.8,545.6,521.0
4551112,964.6,545.6,522.0
4551114,964.9,544.2,521.0
4551116,965.3,546.6,522.0
4551118,965.7,548.1,523.0
4551120,966.1,547.2,523.0
4551122,966.0,546.0,523.0
4551124,965.5,546.8,523.0
4551126,965.2,547.7,523.0
4551128,965.0,548.1,524.0
4551130,964.9,548.3,524.0
4551132,964.5,548.2,524.0
4551134,964.8,547.4,525.0
4551136,965.4,548.6,525.0
4551138,965.1,549.5,526.0
4551140,965.5,548.2,527.0
4551142,965.8,548.8,528.0
4551144,966.1,551.5,527.0
4551146,967.1,551.7,527.0
4551148,967.4,551.6,528.0
4551150,968.6,551.7,529.0
4551152,970.7,551.3,528.0
4551154,970.0,550.7,528.0
4551156,968.7,552.3,529.0
4551158,968.8,552.9,528.0
4551160,969.3,556.2,530.0
4551162,969.8,558.4,531.0
4551164,970.1,559.7,531.0
4551166,970.9,558.4,530.0
4551168,973.7,558.9,530.0
4551170,975.5,559.5,532.0
4551172,974.6,559.1,533.0
4551174,976.3,559.6,533.0
4551176,978.3,558.7,533.0
4551178,977.3,557.7,533.0
4551180,976.8,557.2,533.0
4551182,976.8,557.2,534.0
4551184,976.9,559.1,535.0
4551186,976.9,560.9,536.0
4551188,976.8,561.5,538.0
4551190,977.5,561.7,538.0
4551192,978.1,563.4,537.0
4551194,978.0,562.8,537.0
4551196,976.4,559.3,537.0
4551198,974.4,558.5,539.0
4551200,974.2,560.6,539.0
4551202,975.3,560.6,538.0
4551204,975.6,558.8,540.0
4551206,976.2,557.5,542.0
4551208,975.4,558.0,541.0
4551210,974.9,557.4,540.0
4551212,975.8,557.9,543.0
4551214,975.2,558.8,544.0
4551216,975.2,557.6,544.0
4551218,976.8,556.9,544.0
4551220,977.4,557.9,543.0
4551222,976.8,561.7,542.0
4551224,976.6,561.5,543.0
4551226,976.6,562.2,545.0
4551228,977.9,562.4,545.0
4551230,978.1,562.3,544.0
4551232,977.6,559.4,545.0
4551234,978.4,558.0,544.0
4551236,978.5,561.2,543.0
4551238,978.9,561.0,543.0
4551240,978.3,559.7,541.0
4551242,977.1,559.0,540.0
4551244,976.7,557.6,541.0
4551246,975.8,557.7,542.0
4551248,974.9,558.0,541.0
4551250,974.3,558.0,541.0
4551252,975.5,556.8,541.0
4551254,976.0,556.2,540.0
4551256,975.4,558.2,540.0
4551258,975.4,558.6,540.0
4551260,975.6,557.0,541.0
4551262,974.7,554.6,541.0
4551264,973.7,555.0,539.0
4551266,973.4,556.9,538.0
4551268,973.3,556.3,539.0
4551270,973.0,556.9,539.0
4551272,972.6,557.7,539.0
4551274,971.9,557.6,539.0
4551276,971.7,556.8,541.0
4551278,970.9,556.5,542.0
4551280,969.9,553.2,541.0
4551282,970.6,552.8,540.0
4551284,972.0,555.9,540.0
4551286,972.5,556.8,540.0
4551288,972.3,556.6,541.0
4551290,971.0,555.5,541.0
4551292,970.8,556.0,542.0
4551294,971.2,556.2,541.0
4551296,971.6,556.1,541.0
4551298,972.4,556.0,541.0
4551300,972.8,557.0,543.0
4551302,973.1,558.1,544.0
4551304,971.5,558.0,543.0
4551306,970.2,556.2,543.0
4551308,971.5,554.1,543.0
4551310,972.7,554.0,543.0
4551312,972.9,554.8,544.0
4551314,972.7,559.7,545.0
4551316,972.6,561.2,545.0
4551318,973.4,561.8,546.0
4551320,973.8,561.6,547.0
4551322,974.9,559.5,547.0
4551324,974.8,559.4,547.0
4551326,973.2,560.8,546.0
4551328,973.4,561.0,546.0
4551330,972.8,559.9,545.0
4551332,972.3,558.2,544.0
4551334,972.0,559.5,545.0
4551336,972.2,560.6,545.0
4551338,972.9,559.4,546.0
4551340,972.6,559.3,546.0
4551342,972.5,559.1,545.0
4551344,972.4,559.7,545.0
4551346,972.5,559.7,545.0
4551348,972.7,559.3,546.0
4551350,972.6,559.9,545.0
4551352,971.4,560.5,545.0
4551354,970.7,562.0,544.0
4551356,971.0,562.9,543.0
4551358,971.4,562.3,544.0
4551360,972.0,562.0,544.0
4551362,972.4,561.7,545.0
4551364,971.8,562.3,546.0
4551366,970.5,564.5,546.0
4551368,969.2,567.1,543.0
4551370,967.6,564.8,541.0
4551372,966.8,562.5,541.0
4551374,967.8,563.1,542.0
4551376,967.9,563.7,542.0
4551378,966.6,563.4,542.0
4551380,964.5,564.1,542.0
4551382,964.1,566.3,542.0
4551384,963.2,567.9,541.0
4551386,962.7,567.6,541.0
4551388,963.1,562.3,540.0
4551390,962.5,558.8,539.0
4551392,959.3,561.3,539.0
4551394,958.5,562.6,538.0
4551396,958.3,562.3,538.0
4551398,956.2,562.7,538.0
4551400,954.3,562.9,538.0
4551402,954.2,562.7,537.0
4551404,954.5,562.2,537.0
4551406,954.1,562.3,537.0
4551408,952.8,563.8,537.0
4551410,952.2,564.7,538.0
4551412,951.8,563.8,538.0
4551414,951.7,563.0,536.0
4551416,950.9,561.9,536.0
4551418,947.7,558.8,535.0
4551420,945.3,556.6,535.0
4551422,944.4,558.8,535.0
4551424,946.3,559.2,534.0
4551426,947.2,557.7,534.0
4551428,947.0,557.5,532.0
4551430,946.5,556.9,532.0
4551432,946.6,556.3,533.0
4551434,946.0,555.2,532.0
4551436,944.3,554.3,531.0
4551438,945.3,553.8,530.0
4551440,947.9,553.7,530.0
4551442,947.2,553.6,530.0
4551444,945.7,554.1,530.0
4551446,944.9,554.4,528.0
4551448,944.2,554.4,527.0
4551450,943.5,553.1,527.0
4551452,944.8,552.2,526.0
4551454,945.3,550.9,525.0
4551456,944.4,551.0,524.0
4551458,944.2,550.5,523.0
