id,x,y,pupilD
5014974,945.2,585.3,575.0
5014976,944.9,587.4,577.0
5014978,943.5,586.6,578.0
5014980,943.6,586.3,578.0
5014982,944.4,586.2,578.0
5014984,944.8,586.6,577.0
5014986,945.0,587.7,577.0
5014988,944.5,587.9,577.0
5014990,943.4,588.3,577.0
5014992,944.2,588.5,577.0
5014994,945.5,588.7,578.0
5014996,943.9,589.1,578.0
5014998,943.3,590.2,579.0
5015000,944.2,591.2,579.0
5015002,943.0,591.7,578.0
5015004,941.8,590.4,581.0
5015006,941.1,590.0,582.0
5015008,942.1,590.2,580.0
5015010,942.8,590.0,579.0
5015012,942.6,590.4,579.0
5015014,941.9,592.0,578.0
5015016,941.7,590.4,578.0
5015018,942.7,590.0,579.0
5015020,943.2,591.1,579.0
5015022,943.7,591.1,581.0
5015024,943.6,588.9,582.0
5015026,944.0,590.4,582.0
5015028,943.3,592.6,581.0
5015030,942.0,592.0,581.0
5015032,941.8,592.2,581.0
5015034,942.7,592.4,582.0
5015036,943.5,592.2,583.0
5015038,944.6,591.8,582.0
5015040,945.2,592.7,582.0
5015042,944.6,593.0,584.0
5015044,944.0,592.6,585.0
5015046,941.9,592.0,585.0
5015048,941.2,593.2,586.0
5015050,941.2,593.9,587.0
5015052,941.0,594.6,587.0
5015054,940.5,597.2,590.0
5015056,940.1,598.1,592.0
5015058,939.1,598.6,592.0
5015060,936.0,597.5,592.0
5015062,934.7,596.7,592.0
5015064,936.1,596.7,593.0
5015066,936.9,598.0,592.0
5015068,937.0,599.4,590.0
5015070,937.6,602.1,590.0
5015072,938.5,603.1,591.0
5015074,939.3,603.8,591.0
5015076,938.5,604.0,591.0
5015078,937.7,603.0,591.0
5015080,938.7,602.5,590.0
5015082,940.4,603.1,590.0
5015084,940.4,603.6,591.0
5015086,939.4,604.3,590.0
5015088,938.8,605.6,590.0
5015090,938.1,603.3,589.0
5015092,937.4,601.1,589.0
5015094,937.2,602.6,590.0
5015096,937.2,602.8,590.0
5015098,936.2,603.2,591.0
5015100,935.2,605.4,591.0
5015102,935.6,607.0,593.0
5015104,936.1,605.9,593.0
5015106,937.0,605.3,591.0
5015108,939.6,607.7,591.0
5015110,940.6,609.7,591.0
5015112,940.2,609.2,591.0
5015114,939.9,608.9,591.0
5015116,940.3,607.7,591.0
5015118,940.6,608.4,592.0
5015120,941.3,610.3,593.0
5015122,942.6,610.6,594.0
5015124,943.2,609.5,594.0
5015126,941.4,605.2,594.0
5015128,941.5,606.6,595.0
5015130,943.6,607.5,598.0
5015132,943.0,606.1,600.0
5015134,942.9,605.6,600.0
5015136,942.7,606.1,599.0
5015138,942.1,606.3,599.0
5015140,941.3,605.8,598.0
5015142,940.1,605.5,597.0
5015144,939.1,604.9,596.0
5015146,939.0,604.2,597.0
5015148,938.7,603.3,598.0
5015150,937.4,603.0,600.0
5015152,937.4,604.3,601.0
5015154,938.1,606.0,603.0
5015156,936.8,606.8,604.0
5015158,934.3,606.1,605.0
5015160,932.9,605.8,606.0
5015162,931.7,606.0,609.0
5015164,930.7,606.1,608.0
5015166,930.7,605.9,608.0
5015168,930.6,604.9,608.0
5015170,930.0,605.8,608.0
5015172,929.5,605.6,606.0
5015174,928.9,606.7,606.0
5015176,927.8,606.3,609.0
5015178,928.5,606.8,613.0
5015180,928.8,607.4,613.0
5015182,928.7,606.3,611.0
5015184,928.5,605.3,610.0
5015186,928.4,604.1,610.0
5015188,928.3,604.7,609.0
5015190,928.0,606.4,608.0
5015192,927.0,606.3,608.0
5015194,926.6,605.4,609.0
5015196,927.9,605.4,610.0
5015198,928.6,605.9,612.0
5015200,928.4,607.3,612.0
5015202,927.8,608.0,612.0
5015204,927.5,607.5,610.0
5015206,927.0,608.1,609.0
5015208,926.4,607.5,609.0
5015210,926.3,607.9,608.0
5015212,927.7,609.2,607.0
5015214,928.5,609.5,610.0
5015216,928.3,609.5,611.0
5015218,928.2,609.6,611.0
5015220,927.7,608.9,612.0
5015222,926.7,607.7,613.0
5015224,926.5,606.7,614.0
5015226,927.0,606.4,614.0
5015228,928.2,607.7,615.0
5015230,929.4,607.8,616.0
5015232,931.6,607.9,617.0
5015234,931.7,608.9,617.0
5015236,931.3,609.1,617.0
5015238,931.5,608.9,618.0
5015240,931.5,609.1,620.0
5015242,931.5,609.5,620.0
5015244,931.7,609.5,619.0
5015246,930.4,608.5,619.0
5015248,929.1,607.2,619.0
5015250,930.3,606.7,619.0
5015252,930.4,606.4,619.0
5015254,931.9,605.8,617.0
5015256,934.2,606.3,615.0
5015258,934.5,606.1,615.0
5015260,934.7,602.1,615.0
5015262,934.4,601.3,614.0
