id,x,y,pupilD
4857810,963.9,547.5,437.0
4857812,963.3,547.1,438.0
4857814,963.2,545.6,439.0
4857816,963.9,544.5,439.0
4857818,964.1,543.8,438.0
4857820,963.9,544.1,437.0
4857822,963.7,543.5,437.0
4857824,962.6,541.3,437.0
4857826,962.3,540.9,437.0
4857828,962.9,541.6,435.0
4857830,963.8,542.5,434.0
4857832,963.6,543.4,434.0
4857834,962.8,543.5,433.0
4857836,963.9,543.2,434.0
4857838,964.8,543.3,434.0
4857840,965.0,542.9,434.0
4857842,965.5,541.5,436.0
4857844,966.0,541.0,434.0
4857846,966.1,541.0,433.0
4857848,965.4,540.2,434.0
4857850,964.8,539.2,434.0
4857852,964.5,541.4,434.0
4857854,964.9,541.2,435.0
4857856,965.2,539.3,435.0
4857858,965.4,539.1,435.0
4857860,965.6,540.9,432.0
4857862,965.9,541.5,432.0
4857864,966.2,541.7,430.0
4857866,966.6,541.3,428.0
4857868,966.3,540.8,428.0
4857870,966.1,541.0,428.0
4857872,966.6,539.3,430.0
4857874,967.4,537.7,432.0
4857876,967.7,537.1,431.0
4857878,967.8,536.9,430.0
4857880,968.0,536.7,430.0
4857882,968.1,537.1,430.0
4857884,967.3,537.4,429.0
4857886,966.8,539.2,430.0
4857888,967.8,542.1,430.0
4857890,969.9,542.4,428.0
4857892,970.2,542.3,427.0
4857894,967.6,539.7,426.0
4857896,965.7,535.5,425.0
4857898,966.6,534.5,425.0
4857900,967.6,535.8,425.0
4857902,966.3,538.2,424.0
4857904,965.5,538.4,423.0
4857906,965.4,537.2,422.0
4857908,965.1,536.6,421.0
4857910,964.8,537.4,420.0
4857912,965.3,538.9,420.0
4857914,964.9,538.5,420.0
4857916,964.6,538.4,420.0
4857918,964.3,538.8,420.0
4857920,964.3,538.1,419.0
4857922,964.2,538.2,419.0
4857924,964.2,539.7,419.0
4857926,964.2,543.7,418.0
4857928,963.9,546.2,418.0
4857930,962.7,544.0,418.0
4857932,963.1,541.7,416.0
4857934,963.1,542.3,416.0
4857936,962.8,543.4,417.0
4857938,962.4,543.7,417.0
4857940,962.3,543.8,415.0
4857942,962.5,543.8,415.0
4857944,962.9,546.5,416.0
