id,x,y,pupilD
7012497,954.2,560.6,367.0
7012499,955.1,560.6,368.0
7012501,955.3,559.6,367.0
7012503,957.0,559.4,367.0
7012505,958.1,560.8,367.0
7012507,958.2,562.2,366.0
7012509,957.6,562.4,365.0
7012511,956.6,560.5,364.0
7012513,958.6,562.1,365.0
7012515,960.6,563.3,365.0
7012517,960.7,562.6,365.0
7012519,960.5,560.8,364.0
7012521,959.7,560.3,363.0
7012523,959.1,560.5,363.0
7012525,958.5,560.0,364.0
7012527,957.9,563.9,366.0
7012529,961.0,565.0,368.0
7012531,961.7,565.9,368.0
7012533,960.4,564.2,366.0
7012535,959.1,561.8,366.0
7012537,959.3,563.1,367.0
7012539,960.5,566.4,367.0
7012541,962.4,568.2,367.0
7012543,962.7,568.3,366.0
7012545,962.0,568.3,367.0
7012547,961.4,569.3,366.0
7012549,961.6,568.5,367.0
7012551,962.0,566.3,369.0
7012553,963.1,566.3,370.0
7012555,964.5,568.6,368.0
7012557,964.9,569.2,366.0
7012559,965.1,568.8,365.0
7012561,964.2,568.4,365.0
7012563,963.5,567.2,366.0
7012565,964.1,567.2,367.0
7012567,964.5,567.1,367.0
7012569,964.5,565.8,367.0
7012571,964.1,567.2,366.0
7012573,963.2,568.3,367.0
7012575,963.0,567.9,368.0
7012577,963.9,566.6,368.0
7012579,964.9,566.0,367.0
7012581,964.6,567.2,365.0
7012583,963.2,566.5,366.0
7012585,962.5,564.7,366.0
7012587,962.9,564.6,365.0
7012589,964.1,564.8,366.0
7012591,965.2,564.0,367.0
7012593,965.2,564.7,367.0
7012595,965.3,565.8,367.0
7012597,966.6,568.3,365.0
7012599,965.2,566.0,363.0
7012601,964.5,566.2,364.0
7012603,964.2,566.6,365.0
7012605,964.3,567.5,366.0
7012607,964.9,568.2,366.0
7012609,963.1,568.5,366.0
7012611,964.5,568.9,365.0
7012613,964.8,569.2,366.0
7012615,964.6,568.3,368.0
7012617,963.3,569.0,368.0
7012619,963.6,570.6,368.0
7012621,965.0,571.9,369.0
7012623,965.8,572.9,368.0
7012625,964.9,572.7,368.0
7012627,963.5,571.9,368.0
7012629,962.6,571.5,367.0
7012631,962.2,570.4,366.0
7012633,961.8,570.3,367.0
7012635,961.5,571.1,368.0
7012637,961.5,570.6,368.0
7012639,961.6,570.1,368.0
7012641,961.3,570.0,367.0
7012643,960.6,569.0,367.0
7012645,960.0,567.0,365.0
7012647,960.4,566.3,366.0
7012649,960.9,566.6,367.0
7012651,960.9,566.4,367.0
7012653,960.4,565.7,367.0
7012655,958.4,565.1,367.0
7012657,958.5,567.0,368.0
7012659,958.3,567.2,368.0
7012661,957.1,564.9,367.0
7012663,957.7,564.8,368.0
7012665,958.5,564.9,368.0
7012667,958.6,565.3,367.0
7012669,958.2,565.9,367.0
7012671,957.5,566.9,367.0
7012673,956.9,566.9,368.0
7012675,957.7,566.9,368.0
7012677,958.5,566.3,368.0
7012679,959.0,565.6,369.0
7012681,959.3,566.3,368.0
7012683,958.8,564.9,366.0
7012685,957.9,562.0,366.0
7012687,958.3,561.5,367.0
7012689,958.7,562.3,366.0
7012691,958.7,562.0,367.0
7012693,958.7,561.6,367.0
7012695,959.2,562.3,367.0
7012697,959.0,562.2,366.0
7012699,958.5,561.2,366.0
7012701,958.4,561.6,366.0
7012703,959.2,562.3,366.0
7012705,959.8,562.5,366.0
7012707,959.8,563.3,366.0
7012709,960.2,563.6,364.0
7012711,959.7,563.7,364.0
7012713,960.9,564.5,364.0
7012715,961.7,564.6,364.0
7012717,961.8,564.0,364.0
7012719,961.0,563.1,364.0
7012721,962.1,564.1,364.0
7012723,964.8,564.7,363.0
