x,y,pupilD
967.4400000000002,542.3299999999999,432.0
969.3800000000001,540.9300000000001,432.2
967.6899999999999,542.1099999999999,433.3
965.8,541.2700000000001,434.5
966.0899999999998,543.1400000000001,435.3
965.6299999999999,543.0200000000001,435.3
968.8,550.22,440.9
970.9,551.84,446.1
970.04,551.41,448.9
968.1600000000001,550.83,449.5
961.4,541.73,445.4
955.35,546.8,447.6
957.24,554.3,453.8
967.65,562.9300000000001,455.6
997.6099999999999,645.0500000000001,457.6
995.72,666.1999999999999,457.8
996.6299999999999,666.53,453.8
995.1700000000001,661.47,449.1
995.9599999999998,662.01,443.7
998.74,660.32,439.4
995.9800000000001,666.6300000000001,434.5
992.4,671.05,426.9
988.3799999999999,669.03,423.0
988.4100000000001,665.33,422.1
987.6899999999999,662.01,421.2
988.2,661.6299999999999,421.1
984.53,660.9300000000001,419.5
806.3100000000001,746.6600000000001,427.1
581.4,899.4,429.9
563.4000000000001,928.1,427.4
570.9300000000001,924.1200000000001,425.4
571.52,918.35,422.0
573.64,918.74,422.1
578.95,918.8299999999999,425.2
583.6800000000001,918.79,423.9
590.65,921.6899999999999,428.1
594.49,924.5199999999999,428.9
597.04,926.8100000000001,431.1
497.49000000000007,941.64,439.9
370.04,951.55,447.3
357.74,951.5599999999998,447.5
364.16999999999996,954.9099999999999,449.1
369.42,956.03,450.4
374.29,956.99,450.1
377.68999999999994,956.8799999999999,449.6
379.83000000000004,957.43,448.8
385.37,962.0899999999999,449.1
385.01000000000005,964.3399999999999,450.1
384.11,966.9200000000001,449.7
385.83000000000004,962.8,449.7
378.7,961.01,447.3
372.72,963.32,445.2
376.21,961.68,448.0
384.85,961.61,452.8
382.11,957.8399999999999,451.3
381.05,956.74,450.6
474.12,955.97,451.8
605.4400000000002,947.0600000000001,445.2
618.71,948.61,443.7
618.85,946.86,446.4
618.69,946.0799999999999,446.6
616.63,946.4,447.6
615.5000000000001,944.1700000000001,446.1
615.2700000000001,943.3900000000001,446.1
617.91,943.0800000000002,449.6
618.6300000000001,938.8800000000001,450.9
614.6400000000001,933.4900000000001,451.8
614.26,932.3100000000001,455.1
617.7,931.64,458.5
619.6800000000001,931.6199999999999,463.2
618.89,931.3299999999999,466.4
639.35,932.26,468.4
835.7599999999999,830.04,468.5
982.46,706.4000000000001,462.4
998.76,679.6500000000001,460.8
996.9,682.3399999999999,464.2
996.6,686.7700000000001,467.8
992.85,686.37,467.9
991.1400000000001,687.06,469.9
988.9699999999999,686.23,470.4
986.0200000000001,681.51,472.0
983.76,675.9900000000001,472.1
983.39,676.52,474.4
981.36,682.47,476.4
981.04,680.7500000000001,475.1
988.79,678.72,471.9
1005.82,814.05,471.1
1009.89,882.8299999999999,469.3
1010.79,882.5699999999999,462.5
1013.6300000000001,874.4,454.7
1017.22,870.45,450.8
1016.6899999999999,869.35,446.7
1011.5099999999999,868.2400000000001,442.0
990.07,849.1600000000001,442.8
865.8100000000001,610.65,439.6
856.0900000000001,396.16999999999996,442.0
881.8299999999999,384.84999999999997,445.2
895.26,410.98,452.6
896.2700000000001,418.16999999999996,454.4
896.61,416.02,454.5
894.4200000000001,414.75,457.1
895.1300000000001,408.16,461.1
893.93,413.43,465.8
890.54,413.14000000000004,468.6
889.9799999999999,410.87999999999994,471.4
892.7299999999999,407.71999999999997,475.7
893.96,401.92999999999995,479.5
894.6199999999999,398.7,485.0
894.46,396.62,489.8
896.45,395.92999999999995,493.9
899.15,389.66999999999996,493.7
920.2700000000001,524.36,498.4
932.76,579.56,501.4
931.51,581.1400000000001,501.7
932.68,580.4000000000001,503.9
931.5200000000001,579.11,504.9
932.22,575.97,505.8
930.8700000000001,574.84,506.2
931.1299999999999,568.21,504.6
932.95,562.55,504.5
933.07,563.0,507.7
934.7300000000001,567.38,509.2
933.65,573.11,513.5
968.3799999999999,586.34,515.5
975.7299999999999,589.82,516.3
973.75,595.75,521.0
972.5799999999999,598.1,526.6
971.9200000000001,595.17,530.1
972.4200000000001,594.25,536.9
972.3900000000001,592.96,542.1
972.9499999999998,589.8399999999999,542.5
972.5,589.8499999999999,544.0
975.01,591.12,547.2
976.1,592.76,550.7
977.0600000000001,590.5600000000001,554.3
975.9300000000001,588.62,558.5
976.65,588.92,561.5
976.36,588.6600000000001,562.6
977.21,589.1800000000001,563.9
978.4799999999999,587.74,564.5
978.3099999999998,588.73,567.2
978.6699999999998,588.7299999999999,566.8
980.4100000000002,588.9,569.3
978.7299999999999,585.6800000000001,568.4
978.9799999999999,583.24,565.9
981.6600000000001,587.4399999999999,568.9
983.1300000000001,589.94,567.9
947.3700000000001,596.9399999999999,571.7
804.14,637.79,581.9
789.26,656.3399999999999,580.1
789.92,659.43,581.1
791.9300000000001,655.37,582.0
793.75,655.96,582.8
795.94,656.6600000000001,585.7
798.95,661.34,590.8
800.59,663.13,590.4
798.85,661.1400000000001,587.2
795.29,655.4399999999999,587.7
794.12,653.66,591.7
792.4,660.06,591.1
795.6600000000001,658.31,593.3
801.3200000000002,659.01,596.1
803.69,663.49,597.3
832.15,661.06,595.3
947.64,653.53,588.8
968.29,647.55,589.7
970.2,650.6499999999999,589.0
971.3999999999999,652.45,588.1
970.4200000000001,651.97,588.4
971.3700000000001,650.23,589.7
970.8299999999999,650.2,591.3
970.46,648.56,592.2
972.15,650.7199999999999,592.2
973.2500000000002,651.54,594.9
972.5199999999999,652.48,596.8
