id,x,y,pupilD
3823778,967.2,533.0,426.0
3823780,967.0,533.8,427.0
3823782,967.3,532.7,426.0
3823784,967.1,531.9,424.0
3823786,966.9,533.2,425.0
3823788,966.7,534.4,427.0
3823790,966.6,534.0,428.0
3823792,966.4,533.1,427.0
3823794,965.1,533.7,426.0
3823796,965.1,533.1,427.0
3823798,966.1,532.9,427.0
3823800,967.0,534.0,428.0
3823802,966.5,534.3,427.0
3823804,966.2,535.2,425.0
3823806,966.5,534.3,425.0
3823808,966.8,533.6,427.0
3823810,966.4,535.4,429.0
3823812,967.0,534.5,428.0
3823814,967.7,534.1,428.0
3823816,967.1,534.4,428.0
3823818,965.1,534.3,427.0
3823820,965.1,533.0,428.0
3823822,964.9,531.3,428.0
3823824,964.9,530.9,427.0
3823826,965.1,531.4,427.0
3823828,965.6,533.0,427.0
3823830,965.8,532.7,428.0
3823832,965.2,531.9,429.0
3823834,965.1,532.8,428.0
3823836,966.1,534.4,426.0
3823838,965.8,534.4,429.0
3823840,965.1,533.9,430.0
3823842,965.7,533.0,430.0
3823844,967.1,532.9,431.0
3823846,967.0,534.6,431.0
3823848,966.9,534.8,430.0
3823850,967.2,533.2,429.0
3823852,967.2,532.7,429.0
3823854,967.2,533.3,429.0
3823856,967.1,536.1,430.0
3823858,967.2,536.5,431.0
3823860,969.0,537.7,432.0
3823862,970.4,538.6,432.0
3823864,971.4,538.8,432.0
3823866,972.7,539.6,430.0
3823868,972.2,540.0,430.0
3823870,972.6,539.5,430.0
3823872,973.6,539.8,432.0
3823874,972.7,540.0,432.0
3823876,973.7,540.8,431.0
3823878,974.5,542.8,433.0
3823880,975.2,544.4,433.0
3823882,975.4,544.5,434.0
3823884,975.2,543.8,434.0
3823886,975.9,543.0,434.0
3823888,975.8,542.9,434.0
3823890,977.0,542.8,434.0
3823892,977.6,542.3,435.0
3823894,977.7,544.6,435.0
3823896,977.7,546.2,435.0
3823898,978.0,544.0,435.0
3823900,979.2,544.2,435.0
3823902,979.2,544.5,436.0
3823904,977.2,545.0,437.0
3823906,976.0,546.1,437.0
3823908,976.0,546.1,436.0
3823910,975.9,546.3,436.0
3823912,975.0,544.8,436.0
3823914,972.5,540.2,435.0
3823916,971.4,536.9,433.0
3823918,969.6,536.7,431.0
3823920,968.6,534.4,431.0
3823922,967.2,533.3,433.0
3823924,966.7,535.0,433.0
3823926,966.6,535.3,433.0
3823928,966.5,535.3,433.0
3823930,966.1,535.1,433.0
3823932,965.6,534.8,431.0
3823934,964.3,534.4,430.0
3823936,963.4,534.1,429.0
3823938,963.0,533.8,428.0
3823940,962.2,533.2,429.0
3823942,962.3,532.6,428.0
3823944,963.4,534.7,428.0
3823946,965.2,537.4,429.0
3823948,966.4,536.7,430.0
3823950,966.6,535.3,430.0
3823952,965.7,535.4,429.0
3823954,965.9,536.0,428.0
3823956,967.6,538.3,429.0
3823958,969.2,539.7,430.0
3823960,969.6,538.7,430.0
3823962,969.3,538.2,428.0
3823964,971.0,539.1,428.0
3823966,972.9,539.8,429.0
3823968,972.6,538.6,429.0
3823970,972.7,537.9,430.0
3823972,971.8,537.8,430.0
3823974,971.6,539.1,430.0
3823976,972.9,539.9,430.0
3823978,973.5,540.0,431.0
3823980,972.4,539.1,431.0
3823982,971.1,538.8,431.0
3823984,971.2,538.4,430.0
3823986,971.2,536.8,429.0
3823988,971.0,536.0,430.0
3823990,970.6,535.2,428.0
3823992,970.5,535.3,430.0
3823994,970.5,533.8,431.0
3823996,970.2,532.3,430.0
3823998,970.2,531.9,429.0
3824000,971.0,529.1,429.0
3824002,970.5,526.3,429.0
3824004,969.6,525.9,429.0
3824006,969.4,527.5,429.0
3824008,969.0,528.3,429.0
3824010,968.1,528.8,429.0
3824012,968.4,529.3,429.0
3824014,970.4,529.2,430.0
3824016,971.0,529.9,430.0
3824018,970.2,531.7,431.0
3824020,968.6,532.6,432.0
3824022,967.1,532.5,432.0
3824024,967.2,532.8,433.0
3824026,967.4,530.9,432.0
3824028,967.6,528.7,433.0
3824030,967.8,527.1,433.0
3824032,967.0,529.1,434.0
3824034,966.4,527.5,434.0
3824036,965.4,526.8,434.0
3824038,965.3,524.9,433.0
3824040,966.1,524.9,432.0
3824042,966.4,525.1,432.0
3824044,965.9,523.3,433.0
3824046,966.0,522.5,434.0
3824048,966.0,524.1,434.0
3824050,966.3,524.4,432.0
3824052,966.6,523.2,432.0
