id,x,y,pupilD
4006542,967.5,542.2,431.0
4006544,967.0,541.2,431.0
4006546,966.9,541.0,432.0
4006548,967.5,541.6,433.0
4006550,967.5,542.2,433.0
4006552,967.3,542.6,433.0
4006554,967.5,542.2,432.0
4006556,967.4,542.9,432.0
4006558,967.6,544.0,432.0
4006560,968.2,543.4,431.0
4006562,968.5,541.2,432.0
4006564,968.2,540.4,432.0
4006566,968.6,541.1,432.0
4006568,970.6,540.9,432.0
4006570,971.1,540.5,432.0
4006572,969.5,541.5,432.0
4006574,969.0,542.4,432.0
4006576,969.1,541.2,432.0
4006578,969.1,539.8,433.0
4006580,970.1,540.3,433.0
4006582,969.6,541.5,433.0
4006584,968.0,542.0,433.0
4006586,967.3,542.6,433.0
4006588,966.8,542.8,434.0
4006590,967.6,542.4,433.0
4006592,968.4,542.2,433.0
4006594,968.6,544.1,434.0
4006596,967.9,543.2,434.0
4006598,966.6,539.9,433.0
4006600,966.1,540.4,433.0
4006602,966.7,540.8,435.0
4006604,965.6,540.6,436.0
4006606,966.0,540.6,434.0
4006608,968.2,541.3,434.0
4006610,967.3,542.4,435.0
4006612,966.4,543.4,435.0
4006614,964.8,542.1,434.0
4006616,963.3,540.8,434.0
4006618,963.5,540.1,434.0
4006620,966.2,540.6,434.0
4006622,967.9,543.0,434.0
4006624,968.3,543.2,436.0
4006626,967.1,542.9,436.0
4006628,966.4,544.4,436.0
4006630,966.8,544.7,436.0
4006632,965.3,543.2,435.0
4006634,964.8,542.3,435.0
4006636,965.0,542.1,435.0
4006638,965.0,542.5,435.0
4006640,964.3,543.1,435.0
4006642,964.6,542.2,435.0
4006644,964.0,542.8,435.0
4006646,965.2,544.2,435.0
4006648,966.0,543.7,435.0
4006650,966.2,543.7,436.0
4006652,965.7,543.7,436.0
4006654,965.8,543.7,436.0
4006656,966.1,542.7,435.0
4006658,966.3,542.1,435.0
4006660,966.4,541.4,435.0
4006662,966.8,542.9,436.0
4006664,968.0,546.0,437.0
4006666,969.2,547.9,439.0
4006668,969.4,549.4,441.0
4006670,969.3,550.1,441.0
4006672,969.1,551.3,441.0
4006674,968.2,552.7,441.0
4006676,967.8,553.3,443.0
4006678,969.0,554.1,445.0
4006680,971.2,554.5,445.0
4006682,972.0,554.9,445.0
4006684,971.2,555.5,446.0
4006686,971.1,555.0,446.0
4006688,971.4,552.7,446.0
4006690,971.6,553.1,446.0
4006692,971.1,550.4,446.0
4006694,970.3,549.4,447.0
4006696,969.6,549.2,446.0
4006698,970.4,548.8,446.0
4006700,970.3,549.4,447.0
4006702,970.0,549.4,448.0
4006704,969.8,548.9,447.0
4006706,969.7,548.9,446.0
4006708,968.9,549.5,448.0
4006710,968.4,551.3,449.0
4006712,969.4,552.4,450.0
4006714,971.5,552.6,450.0
4006716,971.7,553.1,450.0
4006718,971.5,553.7,450.0
4006720,969.5,554.3,451.0
4006722,968.9,554.2,451.0
4006724,969.2,553.6,450.0
4006726,969.1,554.9,451.0
4006728,969.8,553.6,451.0
